
VASEmethod[EllipsometerType=4, CompleteEASE=6.42, AcqTime=9.987, ZoneAve=1, Acq. Parameters=DEFAULT.parms,M2K=1, EID=1080092, Measurement Start Time=12/18/2020-09:55:15]
nm
uR	280.013	60.000	0.2173	1.0000
281.605	60.000	40.3618	119.9565	0.0278	0.0514
dPolE	281.605	60.000	0.4656	1.0000
uR	281.605	60.000	0.2177	1.0000
283.197	60.000	40.2911	120.6097	0.0279	0.0514
dPolE	283.197	60.000	0.6805	1.0000
uR	283.197	60.000	0.2175	1.0000
284.789	60.000	40.0620	121.3652	0.0273	0.0502
dPolE	284.789	60.000	0.8451	1.0000
uR	284.789	60.000	0.2173	1.0000
286.381	60.000	39.8424	122.1675	0.0285	0.0523
dPolE	286.381	60.000	0.6357	1.0000
uR	286.381	60.000	0.2158	1.0000
287.973	60.000	39.6119	122.9423	0.0278	0.0508
dPolE	287.973	60.000	0.2482	1.0000
uR	287.973	60.000	0.2145	1.0000
289.565	60.000	39.3225	123.6092	0.0284	0.0520
dPolE	289.565	60.000	0.0084	1.0000
uR	289.565	60.000	0.2124	1.0000
291.157	60.000	38.9848	124.1953	0.0283	0.0518
dPolE	291.157	60.000	0.2132	1.0000
uR	291.157	60.000	0.2092	1.0000
292.750	60.000	38.7592	124.7185	0.0298	0.0545
dPolE	292.750	60.000	0.2468	1.0000
uR	292.750	60.000	0.2065	1.0000
294.342	60.000	38.4626	125.0079	0.0289	0.0530
dPolE	294.342	60.000	-0.1496	1.0000
uR	294.342	60.000	0.2036	1.0000
295.935	60.000	38.1283	125.4116	0.0295	0.0543
dPolE	295.935	60.000	0.4338	1.0000
uR	295.935	60.000	0.1999	1.0000
297.527	60.000	37.9388	125.5037	0.0301	0.0555
dPolE	297.527	60.000	0.7046	1.0000
uR	297.527	60.000	0.1964	1.0000
299.120	60.000	37.6075	125.6755	0.0300	0.0557
dPolE	299.120	60.000	0.3016	1.0000
uR	299.120	60.000	0.1930	1.0000
300.713	60.000	37.3902	125.9474	0.0306	0.0569
dPolE	300.713	60.000	0.6323	1.0000
uR	300.713	60.000	0.1889	1.0000
302.306	60.000	37.2127	126.1113	0.0315	0.0589
dPolE	302.306	60.000	0.1569	1.0000
uR	302.306	60.000	0.1863	1.0000
303.899	60.000	37.0393	126.3430	0.0322	0.0604
dPolE	303.899	60.000	-0.0524	1.0000
uR	303.899	60.000	0.1834	1.0000
305.492	60.000	36.8147	126.4435	0.0321	0.0603
dPolE	305.492	60.000	0.2121	1.0000
uR	305.492	60.000	0.1811	1.0000
307.085	60.000	36.6760	126.7528	0.0325	0.0613
dPolE	307.085	60.000	0.5083	1.0000
uR	307.085	60.000	0.1805	1.0000
308.678	60.000	36.6524	126.8346	0.0321	0.0606
dPolE	308.678	60.000	1.7250	1.0000
